---,Actor,Location,Rotation,Scale,Meshes
Row_0,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=988.000000,Y=1486.000000,Z=804.000000)","(Pitch=0.000000,Yaw=89.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Assets/Environments/Arena/Courtyard/Meshes/SM_Arena_Courtyard_Extention_BB_001.SM_Arena_Courtyard_Extention_BB_001'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environments/Modules/Planks/Materials/MI_Environment_PlankPillars_A_001""',MaterialInstanceConstant'""/Game/Assets/Environments/Modules/Planks/Materials/MI_Environment_Planks_A_001""',MaterialInstanceConstant'""/Game/Assets/Environments/Modules/Planks/Materials/MI_Environment_Planks_A_004""',MaterialInstanceConstant'""/Game/Assets/Environments/Modules/Planks/Materials/MI_Environment_PlanksSupports_A_001""',MaterialInstanceConstant'""/Game/Assets/Environments/Modules/Planks/Materials/MI_Environment_Planks_A_005""',Material'""/Engine/EngineMaterials/WorldGridMaterial""')))"
Row_1,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=1095.000000,Y=1380.000000,Z=800.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.079915,Y=1.079915,Z=1.079915)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Assets/Environments/Arena/Courtyard/Meshes/SM_Arena_Courtyard_Floor_100cm_A_001.SM_Arena_Courtyard_Floor_100cm_A_001'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environments/Modules/Planks/Materials/MI_Environment_Planks_B_004""')))"
Row_2,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1117.000000,Y=1386.000000,Z=804.000000)","(Pitch=0.000000,Yaw=179.999998,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Assets/Environments/Arena/Courtyard/Meshes/SM_Arena_Courtyard_Extention_BB_001.SM_Arena_Courtyard_Extention_BB_001'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environments/Modules/Planks/Materials/MI_Environment_PlankPillars_A_001""',MaterialInstanceConstant'""/Game/Assets/Environments/Modules/Planks/Materials/MI_Environment_Planks_A_001""',MaterialInstanceConstant'""/Game/Assets/Environments/Modules/Planks/Materials/MI_Environment_Planks_A_004""',MaterialInstanceConstant'""/Game/Assets/Environments/Modules/Planks/Materials/MI_Environment_PlanksSupports_A_001""',MaterialInstanceConstant'""/Game/Assets/Environments/Modules/Planks/Materials/MI_Environment_Planks_A_005""',Material'""/Engine/EngineMaterials/WorldGridMaterial""')))"
Row_3,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1115.000000,Y=-1210.000000,Z=560.000000)","(Pitch=0.000000,Yaw=-179.999998,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Assets/Environments/Arena/Courtyard/Meshes/SM_Arena_Courtyard_Floor_100cm_A_001.SM_Arena_Courtyard_Floor_100cm_A_001'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environments/Modules/Planks/Materials/MI_Environment_Planks_B_004""')))"
Row_4,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1073.823984,Y=-583.377772,Z=0.806583)","(Pitch=0.000000,Yaw=-179.999999,Roll=0.000000)","(X=1.910196,Y=1.910196,Z=1.910196)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var19_lod1.S_Thatching_Grass_uddmcgbia_Var19_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_5,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1092.274721,Y=-413.886970,Z=0.710534)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.727129,Y=1.727129,Z=1.727129)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var1_lod1.S_Thatching_Grass_uddmcgbia_Var1_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_6,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1111.683287,Y=313.783252,Z=0.000038)","(Pitch=0.000000,Yaw=109.999999,Roll=0.000000)","(X=2.274981,Y=2.274981,Z=2.274981)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var15_lod1.S_Thatching_Grass_uddmcgbia_Var15_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_7,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1090.058532,Y=-186.291878,Z=1.183114)","(Pitch=0.000000,Yaw=-269.999998,Roll=0.000000)","(X=1.733344,Y=1.733344,Z=1.733344)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var12_lod1.S_Thatching_Grass_uddmcgbia_Var12_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_8,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1125.115130,Y=-477.943313,Z=7.098627)","(Pitch=0.000000,Yaw=-209.999998,Roll=0.000000)","(X=1.559430,Y=1.559430,Z=1.559430)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var15_lod1.S_Thatching_Grass_uddmcgbia_Var15_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_9,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1108.457365,Y=-317.845498,Z=6.136237)","(Pitch=0.000000,Yaw=-269.999998,Roll=0.000000)","(X=1.142102,Y=1.142102,Z=1.142102)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var1_lod1.S_Thatching_Grass_uddmcgbia_Var1_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_10,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1091.508000,Y=107.852216,Z=-1.419880)","(Pitch=0.000000,Yaw=-269.999998,Roll=0.000000)","(X=3.318584,Y=3.318584,Z=3.318584)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var6_lod1.S_Thatching_Grass_uddmcgbia_Var6_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_11,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1085.347771,Y=249.998735,Z=-1.076593)","(Pitch=0.000000,Yaw=-269.999998,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var12_lod1.S_Thatching_Grass_uddmcgbia_Var12_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_12,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1115.000000,Y=-1110.000000,Z=560.000000)","(Pitch=0.000000,Yaw=-179.999998,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Assets/Environments/Arena/Courtyard/Meshes/SM_Arena_Courtyard_Floor_100cm_A_001.SM_Arena_Courtyard_Floor_100cm_A_001'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environments/Modules/Planks/Materials/MI_Environment_Planks_B_004""')))"
Row_13,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1092.590872,Y=269.267045,Z=6.674601)","(Pitch=0.000000,Yaw=-269.999998,Roll=0.000000)","(X=1.817450,Y=1.817450,Z=1.817450)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var14_lod1.S_Thatching_Grass_uddmcgbia_Var14_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_14,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1081.141504,Y=-128.219695,Z=-2.930179)","(Pitch=0.000000,Yaw=-269.999998,Roll=0.000000)","(X=1.569701,Y=1.569701,Z=1.569701)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var16_lod1.S_Thatching_Grass_uddmcgbia_Var16_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_15,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1092.274721,Y=-42.946229,Z=0.710534)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.727129,Y=1.727129,Z=1.727129)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var1_lod1.S_Thatching_Grass_uddmcgbia_Var1_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_16,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1125.115130,Y=-107.002572,Z=7.098627)","(Pitch=0.000000,Yaw=-209.999998,Roll=0.000000)","(X=1.559430,Y=1.559430,Z=1.559430)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var15_lod1.S_Thatching_Grass_uddmcgbia_Var15_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
